SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,SALES_AMOUNT,TICKET_NUM,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-11-07 00:00:00,3797,2015,11,06-Saturday,02-Lunch,1256.4499999999996,164,2.527865853658538,7.661280487804875,3.030730636563183
Cold Season,Drive Through Window,2015-11-07 00:00:00,3797,2015,11,06-Saturday,03-Snack,516.7700000000002,63,2.9030158730158737,8.202698412698416,2.8255782164142382
Cold Season,Drive Through Window,2015-11-07 00:00:00,3797,2015,11,06-Saturday,04-Dinner,913.2100000000002,104,2.981634615384616,8.780865384615385,2.944983714405495
Cold Season,Drive Through Window,2015-11-07 00:00:00,3797,2015,11,06-Saturday,05-Late Night Snack,378.77000000000004,48,2.8831249999999997,7.891041666666667,2.7369752149721807
Cold Season,Drive Through Window,2015-11-08 00:00:00,3797,2015,11,07-Sunday,01-Breakfast,435.6700000000001,58,2.3743103448275864,7.511551724137933,3.1636772928618115
Cold Season,Drive Through Window,2015-11-08 00:00:00,3797,2015,11,07-Sunday,02-Lunch,1033.86,136,2.3522794117647057,7.601911764705882,3.2317214216498393
Cold Season,Drive Through Window,2015-11-08 00:00:00,3797,2015,11,07-Sunday,03-Snack,438.1700000000001,59,2.601864406779661,7.426610169491527,2.8543417366946784
Cold Season,Drive Through Window,2015-11-08 00:00:00,3797,2015,11,07-Sunday,04-Dinner,815.6700000000002,85,2.7335294117647053,9.596117647058826,3.5105229180116218
Cold Season,Drive Through Window,2015-11-08 00:00:00,3797,2015,11,07-Sunday,05-Late Night Snack,123.76,14,1.9835714285714285,8.84,4.456607850198055
Cold Season,Drive Through Window,2015-11-09 00:00:00,3797,2015,11,01-Monday,01-Breakfast,506.28000000000003,108,2.031851851851852,4.687777777777778,2.307145461173897
Cold Season,Drive Through Window,2015-11-09 00:00:00,3797,2015,11,01-Monday,02-Lunch,595.9,105,1.9177142857142853,5.675238095238095,2.9593762415574103
Cold Season,Drive Through Window,2015-11-09 00:00:00,3797,2015,11,01-Monday,03-Snack,387.23999999999995,64,2.47171875,6.050624999999999,2.4479423478095956
Cold Season,Drive Through Window,2015-11-09 00:00:00,3797,2015,11,01-Monday,04-Dinner,736.5899999999999,92,2.4386956521739127,8.00641304347826,3.2830718488144055
Cold Season,Drive Through Window,2015-11-09 00:00:00,3797,2015,11,01-Monday,05-Late Night Snack,199.70999999999998,27,2.3800000000000003,7.396666666666666,3.107843137254901
Cold Season,Drive Through Window,2015-11-10 00:00:00,3797,2015,11,02-Tuesday,01-Breakfast,514.3800000000005,105,2.232380952380953,4.898857142857147,2.194453924914677
Cold Season,Drive Through Window,2015-11-10 00:00:00,3797,2015,11,02-Tuesday,02-Lunch,754.9300000000003,120,2.1199166666666676,6.291083333333336,2.9676087896536814
Cold Season,Drive Through Window,2015-11-10 00:00:00,3797,2015,11,02-Tuesday,03-Snack,397.05,64,2.334062499999999,6.20390625,2.657986343553355
Cold Season,Drive Through Window,2015-11-10 00:00:00,3797,2015,11,02-Tuesday,04-Dinner,992.1099999999999,114,2.2661403508771922,8.702719298245613,3.84032670124642
Cold Season,Drive Through Window,2015-11-10 00:00:00,3797,2015,11,02-Tuesday,05-Late Night Snack,193.04,28,2.6942857142857135,6.894285714285714,2.5588547189819733
Cold Season,Drive Through Window,2015-11-11 00:00:00,3797,2015,11,03-Wednesday,01-Breakfast,410.7000000000002,77,2.1654545454545446,5.333766233766236,2.4631162288593043
Cold Season,Drive Through Window,2015-11-11 00:00:00,3797,2015,11,03-Wednesday,02-Lunch,619.59,99,2.3543434343434346,6.258484848484849,2.658271837995538
Cold Season,Drive Through Window,2015-11-11 00:00:00,3797,2015,11,03-Wednesday,03-Snack,328.8499999999999,50,2.0869999999999997,6.576999999999998,3.151413512218495
Cold Season,Drive Through Window,2015-11-11 00:00:00,3797,2015,11,03-Wednesday,04-Dinner,852.59,93,3.082903225806452,9.16763440860215,2.973701649750619
Cold Season,Drive Through Window,2015-11-11 00:00:00,3797,2015,11,03-Wednesday,05-Late Night Snack,232.73000000000002,30,3.4026666666666667,7.757666666666667,2.279878526645768
Cold Season,Drive Through Window,2015-11-12 00:00:00,3797,2015,11,04-Thursday,01-Breakfast,496.8300000000002,98,1.3958163265306118,5.069693877551023,3.6320637473499553
Cold Season,Drive Through Window,2015-11-12 00:00:00,3797,2015,11,04-Thursday,02-Lunch,1029.3500000000006,140,1.9365000000000006,7.3525000000000045,3.7967983475342124
Cold Season,Drive Through Window,2015-11-12 00:00:00,3797,2015,11,04-Thursday,03-Snack,465.2400000000001,68,2.4675,6.841764705882355,2.7727516538530317
Cold Season,Drive Through Window,2015-11-12 00:00:00,3797,2015,11,04-Thursday,04-Dinner,1239.1599999999996,118,3.058728813559322,10.501355932203387,3.4332419028620498
Cold Season,Drive Through Window,2015-11-12 00:00:00,3797,2015,11,04-Thursday,05-Late Night Snack,272.8700000000001,32,3.299687500000001,8.527187500000004,2.584240931906431
Cold Season,Drive Through Window,2015-11-13 00:00:00,3797,2015,11,05-Friday,01-Breakfast,522.13,106,1.8473584905660385,4.925754716981132,2.666377285261974
Cold Season,Drive Through Window,2015-11-13 00:00:00,3797,2015,11,05-Friday,02-Lunch,1035.9400000000003,141,2.375886524822695,7.347092198581563,3.092358208955225
Cold Season,Drive Through Window,2015-11-13 00:00:00,3797,2015,11,05-Friday,03-Snack,407.2,63,2.8798412698412688,6.463492063492064,2.244391776442706
Cold Season,Drive Through Window,2015-11-13 00:00:00,3797,2015,11,05-Friday,04-Dinner,1137.03,121,3.566776859504133,9.39694214876033,2.6345752815237025
Cold Season,Drive Through Window,2015-11-13 00:00:00,3797,2015,11,05-Friday,05-Late Night Snack,517.4599999999999,60,3.4328333333333334,8.624333333333333,2.512307617614215
Cold Season,Drive Through Window,2015-11-14 00:00:00,3797,2015,11,06-Saturday,01-Breakfast,662.06,102,1.901764705882353,6.49078431372549,3.413032271368182
Cold Season,Drive Through Window,2015-11-14 00:00:00,3797,2015,11,06-Saturday,02-Lunch,1444.2799999999995,172,2.3283139534883714,8.396976744186043,3.6064624066721596
Cold Season,Drive Through Window,2015-11-14 00:00:00,3797,2015,11,06-Saturday,03-Snack,481.61,70,3.478714285714286,6.880142857142857,1.9777832532544863
Cold Season,Drive Through Window,2015-11-14 00:00:00,3797,2015,11,06-Saturday,04-Dinner,815.0300000000002,98,2.7124489795918367,8.316632653061227,3.0660973591151914
Cold Season,Drive Through Window,2015-11-14 00:00:00,3797,2015,11,06-Saturday,05-Late Night Snack,458.97999999999996,49,3.5618367346938764,9.366938775510203,2.629805764052026
Cold Season,Drive Through Window,2015-11-15 00:00:00,3797,2015,11,07-Sunday,01-Breakfast,569.64,81,1.8386419753086427,7.032592592592592,3.8248841737729116
Cold Season,Drive Through Window,2015-11-15 00:00:00,3797,2015,11,07-Sunday,02-Lunch,942.3800000000001,119,2.2273109243697475,7.919159663865547,3.5554800980947
Cold Season,Drive Through Window,2015-11-15 00:00:00,3797,2015,11,07-Sunday,03-Snack,344.38000000000005,50,2.527000000000001,6.887600000000001,2.725603482390185
Cold Season,Drive Through Window,2015-11-15 00:00:00,3797,2015,11,07-Sunday,04-Dinner,757.7,87,3.818620689655171,8.709195402298851,2.280717596773224
Cold Season,Drive Through Window,2015-11-15 00:00:00,3797,2015,11,07-Sunday,05-Late Night Snack,150.07000000000002,20,3.189,7.503500000000001,2.3529319535904674
Cold Season,Drive Through Window,2015-11-16 00:00:00,3797,2015,11,01-Monday,01-Breakfast,475.4700000000001,105,1.7633333333333325,4.528285714285715,2.568025924925738
Cold Season,Drive Through Window,2015-11-16 00:00:00,3797,2015,11,01-Monday,02-Lunch,954.3700000000002,132,2.2326515151515145,7.23007575757576,3.2383359913134964
Cold Season,Drive Through Window,2015-11-16 00:00:00,3797,2015,11,01-Monday,03-Snack,388.82,57,2.4275438596491226,6.82140350877193,2.810002168100022
Cold Season,Drive Through Window,2015-11-16 00:00:00,3797,2015,11,01-Monday,04-Dinner,453.0,55,3.738,8.236363636363636,2.2034145629651247
Cold Season,Drive Through Window,2015-11-16 00:00:00,3797,2015,11,01-Monday,05-Late Night Snack,74.72,7,3.7400000000000007,10.674285714285714,2.8540870893812067
Cold Season,Drive Through Window,2015-11-17 00:00:00,3797,2015,11,02-Tuesday,01-Breakfast,223.14000000000001,34,1.6047058823529412,6.562941176470589,4.089809384164223
Cold Season,Drive Through Window,2015-11-17 00:00:00,3797,2015,11,02-Tuesday,02-Lunch,642.3300000000005,81,2.6391358024691365,7.930000000000006,3.0047714833699786
Cold Season,Drive Through Window,2015-11-17 00:00:00,3797,2015,11,02-Tuesday,03-Snack,292.07000000000005,47,2.2855319148936175,6.214255319148937,2.7189536399180785
Cold Season,Drive Through Window,2015-11-17 00:00:00,3797,2015,11,02-Tuesday,04-Dinner,531.4500000000002,54,3.115740740740739,9.84166666666667,3.1586924219910877
Cold Season,Drive Through Window,2015-11-17 00:00:00,3797,2015,11,02-Tuesday,05-Late Night Snack,98.93000000000002,14,2.9228571428571426,7.066428571428573,2.4176441837732168
Cold Season,Drive Through Window,2015-11-18 00:00:00,3797,2015,11,03-Wednesday,01-Breakfast,446.0199999999999,95,1.8366315789473684,4.694947368421052,2.5562815222375055
Cold Season,Drive Through Window,2015-11-18 00:00:00,3797,2015,11,03-Wednesday,02-Lunch,850.6500000000001,127,1.942913385826773,6.698031496062993,3.447416413373858
Cold Season,Drive Through Window,2015-11-18 00:00:00,3797,2015,11,03-Wednesday,03-Snack,568.9000000000001,80,2.439874999999999,7.111250000000001,2.9145960346329236
Cold Season,Drive Through Window,2015-11-18 00:00:00,3797,2015,11,03-Wednesday,04-Dinner,888.1799999999998,93,3.7240860215053777,9.55032258064516,2.564474216088236
Cold Season,Drive Through Window,2015-11-18 00:00:00,3797,2015,11,03-Wednesday,05-Late Night Snack,153.34,20,3.2555,7.667,2.3550913838120104
Cold Season,Drive Through Window,2015-11-19 00:00:00,3797,2015,11,04-Thursday,01-Breakfast,464.22999999999996,98,1.9911224489795918,4.73704081632653,2.379080612924717
Cold Season,Drive Through Window,2015-11-19 00:00:00,3797,2015,11,04-Thursday,02-Lunch,852.29,137,2.41058394160584,6.221094890510948,2.5807418622255858
Cold Season,Drive Through Window,2015-11-19 00:00:00,3797,2015,11,04-Thursday,03-Snack,498.09000000000015,81,2.49716049382716,6.149259259259261,2.4625006179858615
Cold Season,Drive Through Window,2015-11-19 00:00:00,3797,2015,11,04-Thursday,04-Dinner,1031.59,105,2.7170476190476194,9.824666666666666,3.6159346629745164
