SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,TICKET_NUM,SALES_AMOUNT,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-12-23 00:00:00,4818,2015,12,03-Wednesday,04-Dinner,94,724.9900000000006,3.0257446808510635,7.712659574468091,2.5490120244708554
Cold Season,Drive Through Window,2015-12-23 00:00:00,4818,2015,12,03-Wednesday,05-Late Night Snack,55,481.55000000000007,3.6843636363636363,8.755454545454546,2.3763817607579947
Cold Season,Drive Through Window,2015-12-24 00:00:00,4818,2015,12,04-Thursday,01-Breakfast,76,513.52,2.4218421052631576,6.756842105263158,2.789959795718788
Cold Season,Drive Through Window,2015-12-24 00:00:00,4818,2015,12,04-Thursday,02-Lunch,121,1045.44,3.077851239669422,8.64,2.807153214113098
Cold Season,Drive Through Window,2015-12-24 00:00:00,4818,2015,12,04-Thursday,03-Snack,55,399.57,2.824,7.264909090909091,2.5725598763842394
Cold Season,Drive Through Window,2015-12-24 00:00:00,4818,2015,12,04-Thursday,04-Dinner,68,615.8499999999998,4.863382352941177,9.05661764705882,1.862205557739408
Cold Season,Drive Through Window,2015-12-26 00:00:00,4818,2015,12,06-Saturday,01-Breakfast,27,207.3,2.914814814814814,7.677777777777778,2.6340533672172817
Cold Season,Drive Through Window,2015-12-26 00:00:00,4818,2015,12,06-Saturday,02-Lunch,86,696.5000000000002,2.534186046511627,8.098837209302328,3.1958337157015713
Cold Season,Drive Through Window,2015-12-26 00:00:00,4818,2015,12,06-Saturday,03-Snack,50,372.28999999999996,2.9534,7.445799999999999,2.521094331956389
Cold Season,Drive Through Window,2015-12-26 00:00:00,4818,2015,12,06-Saturday,04-Dinner,72,780.27,3.051250000000001,10.837083333333332,3.551686467294823
Cold Season,Drive Through Window,2015-12-26 00:00:00,4818,2015,12,06-Saturday,05-Late Night Snack,30,315.69000000000005,3.0766666666666667,10.523000000000001,3.4202600216684726
Cold Season,Drive Through Window,2015-12-27 00:00:00,4818,2015,12,07-Sunday,01-Breakfast,34,267.65999999999997,2.972941176470588,7.872352941176469,2.6480015829046297
Cold Season,Drive Through Window,2015-12-27 00:00:00,4818,2015,12,07-Sunday,02-Lunch,97,856.9100000000001,2.639793814432989,8.834123711340206,3.346520346793721
