STORE_ID,BUSINESS_DATE,YEAR,MONTH,DAYOFWEEK,DAY_PART,Sales_Amount,TICKET_NUM,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
4818,2015-06-03,2015,6,03-Wednesday,04-Dinner,1468.3100000000004,158,4.3291971438523165,9.119161151747358,2.300458840554366
4818,2015-06-04,2015,6,04-Thursday,04-Dinner,2099.09,233,4.30206938251077,8.192640767893586,2.0570136160198986
4818,2015-06-05,2015,6,05-Friday,04-Dinner,2073.15,225,3.075456521739131,9.231296442687746,3.0013143881568203
4818,2015-06-06,2015,6,06-Saturday,04-Dinner,2300.060000000001,272,4.062269226537573,7.119029779587049,1.7489745055246806
4818,2015-06-07,2015,6,07-Sunday,04-Dinner,1431.19,171,3.625579313406333,8.442066439775083,2.3574791239137416
4818,2015-06-08,2015,6,01-Monday,04-Dinner,2149.7599999999993,262,4.1964173228346455,8.214427529892095,1.9975767762972003
4818,2015-06-09,2015,6,02-Tuesday,04-Dinner,1624.5600000000009,209,4.1261680672268914,7.884937441643328,1.9082922704533019
4818,2015-06-10,2015,6,03-Wednesday,04-Dinner,1408.7700000000004,187,3.078367816091953,7.521532758620692,2.453969631390573
4818,2015-06-11,2015,6,04-Thursday,04-Dinner,1518.0300000000002,160,3.227882591093117,9.589834008097165,2.99271678261401
4818,2015-06-12,2015,6,05-Friday,04-Dinner,2325.3200000000006,246,4.122801906779663,9.4167624470339,2.281219662506154
4818,2015-06-13,2015,6,06-Saturday,04-Dinner,1721.9900000000002,237,2.8069580735851356,6.211261459479282,2.203041184559553
4818,2015-06-14,2015,6,07-Sunday,04-Dinner,2281.6900000000005,267,3.1166585915492964,8.510134084507046,2.7279853411504984
4818,2015-06-15,2015,6,01-Monday,04-Dinner,1593.7999999999997,185,3.7684755853911938,7.945476304643171,2.175075675067021
4818,2015-06-16,2015,6,02-Tuesday,04-Dinner,1857.71,209,3.8758241758241763,8.895179945054945,2.297484669090946
4818,2015-06-17,2015,6,03-Wednesday,04-Dinner,1746.9600000000005,206,3.2429769721191373,8.525600913502714,2.6272438612598927
4818,2015-06-18,2015,6,04-Thursday,04-Dinner,2688.9800000000005,326,4.770072992700729,8.314585795388718,1.8115483437247533
4818,2015-06-19,2015,6,05-Friday,04-Dinner,2388.4100000000003,287,3.832729237493929,8.310230694511901,2.1710218881395695
4818,2015-06-20,2015,6,06-Saturday,04-Dinner,2246.87,264,3.941553030303031,8.510871212121211,2.14478414381738
4818,2015-06-21,2015,6,07-Sunday,04-Dinner,2402.6500000000005,296,4.482018831348657,6.471245115234315,1.3920549678071301
4818,2015-06-22,2015,6,01-Monday,04-Dinner,1685.3199999999997,216,4.090266035299183,7.871628067154541,1.9600245756902084
4818,2015-06-23,2015,6,02-Tuesday,04-Dinner,1903.4699999999998,230,3.2124782608695646,8.275956521739133,2.577954172750561
4818,2015-06-24,2015,6,03-Wednesday,04-Dinner,1557.7800000000002,209,2.5816235632183906,7.5060947348906195,2.950129054051488
4818,2015-06-25,2015,6,04-Thursday,04-Dinner,1880.72,204,2.449217769193626,9.265058425881216,3.7862528921340237
4818,2015-06-26,2015,6,05-Friday,04-Dinner,2177.6000000000004,253,2.302055680539933,8.609100424946883,3.74559386666332
4818,2015-06-27,2015,6,06-Saturday,04-Dinner,2113.7200000000003,262,2.40641401459854,8.099259562043798,3.3734761151043333
4818,2015-06-28,2015,6,07-Sunday,04-Dinner,2394.3200000000006,264,2.938980975918157,9.047325708374043,3.086086066917453
4818,2015-06-29,2015,6,01-Monday,04-Dinner,1903.29,237,2.8196506800286336,8.144183965640657,2.861482236470331
4818,2015-06-30,2015,6,02-Tuesday,04-Dinner,1652.25,223,3.0803287141475986,7.447172494360297,2.459137951832666
4818,2015-07-01,2015,7,03-Wednesday,04-Dinner,1783.8300000000004,214,3.0006303191489354,8.269488475177306,2.7731437421388048
4818,2015-07-02,2015,7,04-Thursday,04-Dinner,2016.2800000000002,241,3.036086582173853,8.370005854800938,2.7686341525840437
4818,2015-07-03,2015,7,05-Friday,04-Dinner,2252.5699999999997,279,2.715791353963195,8.081459854014598,2.977431673666902
4818,2015-07-04,2015,7,06-Saturday,04-Dinner,2335.0600000000004,242,3.6894515027322408,9.647719262295084,2.6171694203173006
4818,2015-07-05,2015,7,07-Sunday,04-Dinner,1927.4699999999998,217,3.1914523809523807,8.887619047619047,2.805119938650545
4818,2015-07-06,2015,7,01-Monday,04-Dinner,1487.8799999999997,188,2.540899515738498,8.277399515738498,3.2346525256068825
4818,2015-07-07,2015,7,02-Tuesday,04-Dinner,1281.83,168,4.49025588235294,7.725267647058823,1.8306140045767627
4818,2015-07-08,2015,7,03-Wednesday,04-Dinner,1292.1400000000003,168,2.6940941176470585,7.821029411764707,2.8991554285741183
4818,2015-07-09,2015,7,04-Thursday,04-Dinner,2021.8200000000013,281,3.3555169172932326,7.164318990042679,2.1323827091629792
4818,2015-07-10,2015,7,05-Friday,04-Dinner,2308.430000000001,258,2.090976658476659,9.09328255528256,4.351998945537421
4818,2015-07-11,2015,7,06-Saturday,04-Dinner,1699.8399999999992,206,2.530209938366718,8.354103428351307,3.4456232919407705
4818,2015-07-12,2015,7,07-Sunday,04-Dinner,2347.6599999999994,280,2.8019164412230113,8.374257567250266,3.020156361644136
4818,2015-07-13,2015,7,01-Monday,04-Dinner,1519.9900000000002,197,2.5513246067657827,7.787080909286792,3.05665625497719
