SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,SALES_AMOUNT,TICKET_NUM,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-11-01 00:00:00,4168,2015,11,07-Sunday,01-Breakfast,945.1599999999999,120,3.45975,7.876333333333332,2.2765614085796178
Cold Season,Drive Through Window,2015-11-01 00:00:00,4168,2015,11,07-Sunday,02-Lunch,1787.3800000000012,194,2.6717525773195874,9.213298969072172,3.448410248495141
Cold Season,Drive Through Window,2015-11-01 00:00:00,4168,2015,11,07-Sunday,03-Snack,585.22,75,2.416400000000001,7.802933333333334,3.229156320697455
Cold Season,Drive Through Window,2015-11-01 00:00:00,4168,2015,11,07-Sunday,04-Dinner,1063.5600000000006,109,3.0075229357798166,9.757431192660556,3.2443414068696255
Cold Season,Drive Through Window,2015-11-01 00:00:00,4168,2015,11,07-Sunday,05-Late Night Snack,393.04,42,4.576666666666665,9.358095238095238,2.044740401623141
Cold Season,Drive Through Window,2015-11-02 00:00:00,4168,2015,11,01-Monday,01-Breakfast,561.0300000000002,98,3.4761224489795937,5.724795918367349,1.6468913285974283
Cold Season,Drive Through Window,2015-11-02 00:00:00,4168,2015,11,01-Monday,02-Lunch,867.7300000000005,125,2.8342399999999994,6.941840000000004,2.449277407700126
Cold Season,Drive Through Window,2015-11-02 00:00:00,4168,2015,11,01-Monday,03-Snack,493.72999999999996,77,2.3774025974025967,6.412077922077922,2.6970938490112535
Cold Season,Drive Through Window,2015-11-02 00:00:00,4168,2015,11,01-Monday,04-Dinner,1251.4299999999998,111,3.2706306306306296,11.274144144144143,3.447085720581755
Cold Season,Drive Through Window,2015-11-02 00:00:00,4168,2015,11,01-Monday,05-Late Night Snack,442.69,48,5.028750000000001,9.222708333333333,1.8339961885823177
Cold Season,Drive Through Window,2015-11-03 00:00:00,4168,2015,11,02-Tuesday,01-Breakfast,785.6199999999998,143,3.461818181818183,5.493846153846152,1.5869828700711044
Cold Season,Drive Through Window,2015-11-03 00:00:00,4168,2015,11,02-Tuesday,02-Lunch,783.1,126,2.9542857142857137,6.215079365079365,2.103750268643886
Cold Season,Drive Through Window,2015-11-03 00:00:00,4168,2015,11,02-Tuesday,03-Snack,570.8499999999999,72,3.9679166666666683,7.928472222222221,1.9981448423115955
Cold Season,Drive Through Window,2015-11-03 00:00:00,4168,2015,11,02-Tuesday,04-Dinner,1338.4099999999996,134,3.5629850746268663,9.988134328358207,2.8033051273458436
Cold Season,Drive Through Window,2015-11-03 00:00:00,4168,2015,11,02-Tuesday,05-Late Night Snack,225.48999999999998,28,3.3042857142857143,8.053214285714285,2.4372027669693037
Cold Season,Drive Through Window,2015-11-04 00:00:00,4168,2015,11,03-Wednesday,01-Breakfast,590.7600000000001,123,2.7471544715447167,4.802926829268293,1.7483279076649891
Cold Season,Drive Through Window,2015-11-04 00:00:00,4168,2015,11,03-Wednesday,02-Lunch,927.2700000000002,129,2.746899224806199,7.188139534883723,2.616819528714551
Cold Season,Drive Through Window,2015-11-04 00:00:00,4168,2015,11,03-Wednesday,03-Snack,403.8999999999999,55,2.6569090909090916,7.343636363636362,2.76397728050366
