STORE_ID,BUSINESS_DATE,YEAR,MONTH,DAYOFWEEK,DAY_PART,Sales_Amount,TICKET_NUM,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
4818,2015-06-03,2015,6,03-Wednesday,01-Breakfast,233.51,42,2.5586666666666664,5.54737037037037,2.175378653595074
4818,2015-06-04,2015,6,04-Thursday,01-Breakfast,689.1800000000001,118,2.8823418367346942,6.355066326530613,2.201637937691965
4818,2015-06-05,2015,6,05-Friday,01-Breakfast,590.8,97,3.980646959865417,5.911778899303052,1.606614282343841
4818,2015-06-06,2015,6,06-Saturday,01-Breakfast,765.25,112,6.9127412280701765,7.170065789473684,1.2546751232273035
4818,2015-06-07,2015,6,07-Sunday,01-Breakfast,776.3700000000001,99,3.490829820864067,8.399718124341415,2.4101292773457956
4818,2015-06-08,2015,6,01-Monday,01-Breakfast,537.4199999999998,98,2.831219135802469,4.776368312757201,1.4844466526415288
4818,2015-06-09,2015,6,02-Tuesday,01-Breakfast,649.4400000000002,115,3.0489605263157897,6.536328947368423,2.123195836249505
4818,2015-06-10,2015,6,03-Wednesday,01-Breakfast,745.2700000000003,110,3.03189494680851,6.912539893617023,2.2924285422003887
4818,2015-06-11,2015,6,04-Thursday,01-Breakfast,604.1700000000001,102,2.5179644895370954,7.218424223208624,2.8071407296838
4818,2015-06-12,2015,6,05-Friday,01-Breakfast,579.82,104,2.8119318181818183,6.962187500000001,2.4262770269046006
4818,2015-06-13,2015,6,06-Saturday,01-Breakfast,808.8,115,3.2498982334869435,7.420220814132104,2.3124623262322936
4818,2015-06-14,2015,6,07-Sunday,01-Breakfast,596.92,85,3.9433625525946714,7.601304347826088,1.9254459592598097
4818,2015-06-15,2015,6,01-Monday,01-Breakfast,595.6,105,2.72873745819398,5.288908862876253,1.9605605276788614
4818,2015-06-16,2015,6,02-Tuesday,01-Breakfast,588.25,103,3.0386046511627907,6.480694254445965,2.169714959165372
4818,2015-06-17,2015,6,03-Wednesday,01-Breakfast,502.76,87,3.1550603864734303,6.782234299516908,2.115648346272624
4818,2015-06-18,2015,6,04-Thursday,01-Breakfast,594.9,106,3.3537906976744183,6.08413953488372,1.844624837270962
4818,2015-06-19,2015,6,05-Friday,01-Breakfast,661.6999999999999,115,3.13424031986532,6.452927188552188,2.056257840585201
4818,2015-06-20,2015,6,06-Saturday,01-Breakfast,881.5700000000002,134,3.540301535087719,6.758958333333334,1.917619482853576
4818,2015-06-21,2015,6,07-Sunday,01-Breakfast,681.6800000000002,101,2.8841110471806672,7.2141168009206,2.494761482662393
4818,2015-06-22,2015,6,01-Monday,01-Breakfast,544.56,90,2.89677807486631,6.453094919786096,2.219360912162035
4818,2015-06-23,2015,6,02-Tuesday,01-Breakfast,680.7600000000002,109,3.094034090909091,7.45180194805195,2.368044622166467
4818,2015-06-24,2015,6,03-Wednesday,01-Breakfast,607.7100000000003,112,2.918369565217391,5.899858695652176,2.0165242843953424
4818,2015-06-25,2015,6,04-Thursday,01-Breakfast,623.47,99,3.226134831460674,7.557382022471911,2.3336897138510766
4818,2015-06-26,2015,6,05-Friday,01-Breakfast,563.05,90,2.7136666666666667,6.920166666666666,2.4961700723409206
4818,2015-06-27,2015,6,06-Saturday,01-Breakfast,944.9000000000001,130,4.686580086580088,7.9678869047619045,1.676423776304297
4818,2015-06-28,2015,6,07-Sunday,01-Breakfast,662.19,90,4.547033898305085,6.910970475669766,1.6749601980912254
4818,2015-06-29,2015,6,01-Monday,01-Breakfast,549.2900000000001,90,2.7220454545454547,7.013787878787879,2.5686697852350333
4818,2015-06-30,2015,6,02-Tuesday,01-Breakfast,654.5300000000001,110,3.705843023255814,6.63265503875969,1.7986151408584559
4818,2015-07-01,2015,7,03-Wednesday,01-Breakfast,667.23,109,2.952233333333333,7.160416666666666,2.394612785513216
4818,2015-07-02,2015,7,04-Thursday,01-Breakfast,726.0100000000002,125,3.3116250944822374,6.30263605442177,1.9906585741099776
4818,2015-07-03,2015,7,05-Friday,01-Breakfast,740.9200000000002,103,2.9453619047619055,7.4707523809523835,2.534740777702466
4818,2015-07-04,2015,7,06-Saturday,01-Breakfast,822.3099999999998,104,3.2846666666666673,8.131208333333333,2.4900976448829595
4818,2015-07-05,2015,7,07-Sunday,01-Breakfast,632.0799999999999,84,3.408859586600142,8.912052744119745,2.5547536647736377
4818,2015-07-06,2015,7,01-Monday,01-Breakfast,434.25000000000006,83,2.6200821917808215,5.830890410958904,2.220401055102419
4818,2015-07-07,2015,7,02-Tuesday,01-Breakfast,482.7199999999998,82,3.2970483193277307,7.7216491596638654,2.304473127699146
4818,2015-07-08,2015,7,03-Wednesday,01-Breakfast,706.9800000000002,111,3.1701254480286742,7.297159498207886,2.2839084142862704
4818,2015-07-09,2015,7,04-Thursday,01-Breakfast,532.7600000000001,94,2.6535849952516624,6.142962962962964,2.3817996628212423
4818,2015-07-10,2015,7,05-Friday,01-Breakfast,676.4000000000001,121,2.682220764617691,6.359490254872565,2.3926610529158454
4818,2015-07-11,2015,7,06-Saturday,01-Breakfast,660.8400000000001,107,2.3823781838316727,6.625467884828351,2.7757889342485296
4818,2015-07-12,2015,7,07-Sunday,01-Breakfast,701.11,111,3.0098073122529643,6.986136363636364,2.342974543590612
4818,2015-07-13,2015,7,01-Monday,01-Breakfast,536.9000000000001,103,2.3249084967320264,5.4585686274509815,2.4196766197023525
4818,2015-07-14,2015,7,02-Tuesday,01-Breakfast,644.8000000000001,117,2.423031100478469,5.736844497607656,2.5024083652039613
